27 37
Garfield Sylvester
BillTheCat Felix
Figaro Heathcliff
Jinx KlondikeKat
Garfield Figaro
Toonces PussInBoots
Toonces KlondikeKat
BillTheCat Jinx
Heathcliff Figaro
KlondikeKat Garfield
Sylvester Jinx
Heathcliff Felix
Felix Garfield
Figaro Heathcliff
Jinx Garfield
Figaro Sylvester
Snoopy Lassie
Cujo Triumph
Barkley Bingo
Farfel Underdog
Marmaduke Puddles
ScoobyDoo OldYeller
Reveille RinTinTin
Spike Toto
Barkley Odie
Farfel OldYeller
Spike Snoopy
Barkley Marmaduke
Cujo OldYeller
Toto Spike
OldYeller Triumph
Puddles Snoopy
Lassie Barkley
Cujo Bingo
Farfel Reveille
ScoobyDoo Underdog
Triumph Farfel
